,Event Type,Event ID,Event Time (UTC),Duration (s),Extra Data
80,GS_pass,LOS,2024-11-07 02:47:18.406124009,71.79243886160106,"{'TCA': '2024-11-07T02:46:42.512023204', 'MAX_EL': 5.149752933460058, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT14', 'AOS': None}"
81,Eclipse,Entry,2024-11-07 03:46:19.021273000,2079.5855545179847,"{'End Time': datetime.datetime(2024, 11, 7, 4, 20, 58, 606828)}"
82,Eclipse,Exit,2024-11-07 04:20:58.606828000,2079.5855545179847,"{'Start Time': datetime.datetime(2024, 11, 7, 3, 46, 19, 21273)}"
83,GS_pass,AOS,2024-11-07 04:23:41.708604079,103.0655797678101,"{'TCA': '2024-11-07T04:24:33.252559738', 'MAX_EL': 5.311296794012529, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT15', 'LOS': '2024-11-07T04:25:24.774183847'}"
84,GS_pass,LOS,2024-11-07 04:25:24.774183847,103.0655797678101,"{'TCA': '2024-11-07T04:24:33.252559738', 'MAX_EL': 5.311296794012529, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT15', 'AOS': None}"
85,GS_pass,AOS,2024-11-07 04:41:25.488810287,572.5144933286274,"{'TCA': '2024-11-07T04:46:11.743366173', 'MAX_EL': 34.57331634467933, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0104', 'LOS': '2024-11-07T04:50:58.003303615'}"
86,GS_pass,LOS,2024-11-07 04:50:58.003303615,572.5144933286274,"{'TCA': '2024-11-07T04:46:11.743366173', 'MAX_EL': 34.57331634467933, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0104', 'AOS': None}"
87,Eclipse,Entry,2024-11-07 05:22:43.938080000,2079.5441686229183,"{'End Time': datetime.datetime(2024, 11, 7, 5, 57, 23, 482248)}"
88,Eclipse,Exit,2024-11-07 05:57:23.482248000,2079.5441686229183,"{'Start Time': datetime.datetime(2024, 11, 7, 5, 22, 43, 938080)}"
89,GS_pass,AOS,2024-11-07 05:59:36.710678920,313.64622025256944,"{'TCA': '2024-11-07T06:02:13.702507934', 'MAX_EL': 8.337014578897143, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT16', 'LOS': '2024-11-07T06:04:50.356899172'}"
90,GS_pass,LOS,2024-11-07 06:04:50.356899172,313.64622025256944,"{'TCA': '2024-11-07T06:02:13.702507934', 'MAX_EL': 8.337014578897143, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT16', 'AOS': None}"
91,GS_pass,AOS,2024-11-07 06:18:52.316522475,285.3575239721569,"{'TCA': '2024-11-07T06:21:14.788338566', 'MAX_EL': 7.923932404542222, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0105', 'LOS': '2024-11-07T06:23:37.674046447'}"
92,GS_pass,LOS,2024-11-07 06:23:37.674046447,285.3575239721569,"{'TCA': '2024-11-07T06:21:14.788338566', 'MAX_EL': 7.923932404542222, 'GS_NAME': 'CLN01', 'Pass_ID': 'CLN0105', 'AOS': None}"
93,Eclipse,Entry,2024-11-07 06:59:08.792633000,2079.5074339306398,"{'End Time': datetime.datetime(2024, 11, 7, 7, 33, 48, 300067)}"
94,Eclipse,Exit,2024-11-07 07:33:48.300067000,2079.5074339306398,"{'Start Time': datetime.datetime(2024, 11, 7, 6, 59, 8, 792633)}"
95,GS_pass,AOS,2024-11-07 07:35:34.327340988,468.37961143005487,"{'TCA': '2024-11-07T07:39:29.010620339', 'MAX_EL': 14.937570906987117, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT17', 'LOS': '2024-11-07T07:43:22.706952418'}"
96,GS_pass,LOS,2024-11-07 07:43:22.706952418,468.37961143005487,"{'TCA': '2024-11-07T07:39:29.010620339', 'MAX_EL': 14.937570906987117, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT17', 'AOS': None}"
97,Eclipse,Entry,2024-11-07 08:35:33.564070000,2079.501122820268,"{'End Time': datetime.datetime(2024, 11, 7, 9, 10, 13, 65193)}"
98,Eclipse,Exit,2024-11-07 09:10:13.065193000,2079.501122820268,"{'Start Time': datetime.datetime(2024, 11, 7, 8, 35, 33, 564070)}"
99,GS_pass,AOS,2024-11-07 09:11:28.423945216,565.3131364490936,"{'TCA': '2024-11-07T09:16:11.900552603', 'MAX_EL': 27.75468375922615, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT18', 'LOS': '2024-11-07T09:20:53.737081665'}"
100,GS_pass,LOS,2024-11-07 09:20:53.737081665,565.3131364490936,"{'TCA': '2024-11-07T09:16:11.900552603', 'MAX_EL': 27.75468375922615, 'GS_NAME': 'KSAT', 'Pass_ID': 'KSAT18', 'AOS': None}"
101,GS_pass,AOS,2024-11-07 10:10:20.141808245,329.8605180827699,"{'TCA': '2024-11-07T10:13:05.701902328', 'MAX_EL': 8.76470793212246, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0107', 'LOS': '2024-11-07T10:15:50.002326328'}"
102,Eclipse,Entry,2024-11-07 10:11:58.314746000,2079.4907787961242,"{'End Time': datetime.datetime(2024, 11, 7, 10, 46, 37, 805525)}"
103,GS_pass,LOS,2024-11-07 10:15:50.002326328,329.8605180827699,"{'TCA': '2024-11-07T10:13:05.701902328', 'MAX_EL': 8.76470793212246, 'GS_NAME': 'AWARUA01', 'Pass_ID': 'AWARUA0107', 'AOS': None}"
104,Eclipse,Exit,2024-11-07 10:46:37.805525000,2079.4907787961242,"{'Start Time': datetime.datetime(2024, 11, 7, 10, 11, 58, 314746)}"
