SatID,gsID,start_time,end_time,TW_index,concat_sat_gs_k,AOSoffset,LOSoffset,duration,Eclipse
FF03,SVALBARD01,167464.0,167651.0,14.0,FF03_SVALBARD01_14.0,167464,167651,187.0,1
FF03,SVALBARD01,173250.0,173894.0,15.0,FF03_SVALBARD01_15.0,173250,173894,644.0,1
FF02,MAU01,105333.0,105578.0,1.0,FF02_MAU01_1.0,105333,105578,245.0,1
FF02,MAU01,111024.0,111359.0,2.0,FF02_MAU01_2.0,111024,111359,335.0,1
FF02,MAU01,149655.0,150277.0,3.0,FF02_MAU01_3.0,149655,150277,622.0,1
FF02,MAU01,155596.0,155884.0,4.0,FF02_MAU01_4.0,155596,155884,288.0,1
FF03,MAU01,107182.0,107504.0,1.0,FF03_MAU01_1.0,107182,107504,322.0,1
FF03,MAU01,113017.0,113290.0,2.0,FF03_MAU01_2.0,113017,113290,273.0,1
FF03,MAU01,146052.0,146244.0,3.0,FF03_MAU01_3.0,146052,146244,192.0,1
FF03,MAU01,151570.0,152204.0,4.0,FF03_MAU01_4.0,151570,152204,634.0,1
FF01,MAU01,109082.0,109433.0,1.0,FF01_MAU01_1.0,109082,109433,351.0,1
FF01,MAU01,147793.0,148309.0,2.0,FF01_MAU01_2.0,147793,148309,516.0,1
FF01,MAU01,153534.0,154085.0,3.0,FF01_MAU01_3.0,153534,154085,551.0,1
FF02,AWARUA01,115494.0,115552.0,1.0,FF02_AWARUA01_1.0,115494,115552,58.0,1
FF02,AWARUA01,120916.0,121023.0,2.0,FF02_AWARUA01_2.0,120916,121023,107.0,1
FF02,AWARUA01,126732.0,126831.0,3.0,FF02_AWARUA01_3.0,126732,126831,99.0,1
FF02,AWARUA01,163400.0,163525.0,4.0,FF02_AWARUA01_4.0,163400,163525,125.0,1
FF02,AWARUA01,168967.0,169611.0,5.0,FF02_AWARUA01_5.0,168967,169611,644.0,1
FF03,AWARUA01,117210.0,117622.0,1.0,FF03_AWARUA01_1.0,117210,117622,412.0,1
FF03,AWARUA01,122824.0,122956.0,2.0,FF03_AWARUA01_2.0,122824,122956,132.0,1
FF03,AWARUA01,128763.0,128766.0,3.0,FF03_AWARUA01_3.0,128763,128766,3.0,1
FF03,AWARUA01,165181.0,165651.0,4.0,FF03_AWARUA01_4.0,165181,165651,470.0,1
FF03,AWARUA01,170892.0,171538.0,5.0,FF03_AWARUA01_5.0,170892,171538,646.0,1
FF03,AWARUA01,176766.0,177105.0,6.0,FF03_AWARUA01_6.0,176766,177105,339.0,1
