concat_SatID_encodedStripId_TWindex,conflicting_strip_oppr,OpportunityStartTime,OpportunityEndTime,StripID,normalized_GlobalPriority,normalized_local_priority_due_date,normalized_Total_Priority,conflic_strip_flag_named,max_Norm_GP,max_Norm_LPDD,max_Norm_TP,this_flag_norm_GP,this_flag_norm_LLDD,this_flag_norm_TP
FF01_Order 30 - Strip 0_Area 27_1.0,"['FF01_Order 30 - Strip 1_Area 27_1.0', 'FF01_Order 30 - Strip 2_Area 27_1.0', 'FF01_Order 30 - Strip 3_Area 27_1.0', 'FF01_Order 30 - Strip 4_Area 27_1.0']",2024-11-14 14:59:18,2024-11-14 14:59:34,Order 30 - Strip 0,1000.0,752.2807943125091,555,FF01_Order 30 - Strip 0_Area 27_1.0,1000.0,752.2807943125091,555,1000.0,752.2807943125091,555
FF01_Order 30 - Strip 1_Area 27_1.0,"['FF01_Order 30 - Strip 0_Area 27_1.0', 'FF01_Order 30 - Strip 2_Area 27_1.0', 'FF01_Order 30 - Strip 3_Area 27_1.0', 'FF01_Order 30 - Strip 4_Area 27_1.0']",2024-11-14 14:59:17,2024-11-14 14:59:34,Order 30 - Strip 1,1000.0,752.2807943125091,554,FF01_Order 30 - Strip 0_Area 27_1.0,1000.0,752.2807943125091,555,1000.0,752.2807943125091,555
FF01_Order 30 - Strip 2_Area 27_1.0,"['FF01_Order 30 - Strip 0_Area 27_1.0', 'FF01_Order 30 - Strip 1_Area 27_1.0', 'FF01_Order 30 - Strip 3_Area 27_1.0', 'FF01_Order 30 - Strip 4_Area 27_1.0']",2024-11-14 14:59:01,2024-11-14 14:59:33,Order 30 - Strip 2,1000.0,752.2807943125091,552,FF01_Order 30 - Strip 0_Area 27_1.0,1000.0,752.2807943125091,555,1000.0,752.2807943125091,555
FF01_Order 30 - Strip 3_Area 27_1.0,"['FF01_Order 30 - Strip 0_Area 27_1.0', 'FF01_Order 30 - Strip 1_Area 27_1.0', 'FF01_Order 30 - Strip 2_Area 27_1.0', 'FF01_Order 30 - Strip 4_Area 27_1.0']",2024-11-14 14:59:00,2024-11-14 14:59:32,Order 30 - Strip 3,1000.0,752.2807943125091,553,FF01_Order 30 - Strip 0_Area 27_1.0,1000.0,752.2807943125091,555,1000.0,752.2807943125091,555
FF01_Order 30 - Strip 4_Area 27_1.0,"['FF01_Order 30 - Strip 0_Area 27_1.0', 'FF01_Order 30 - Strip 1_Area 27_1.0', 'FF01_Order 30 - Strip 2_Area 27_1.0', 'FF01_Order 30 - Strip 3_Area 27_1.0']",2024-11-14 14:58:59,2024-11-14 14:59:31,Order 30 - Strip 4,1000.0,752.2807943125091,553,FF01_Order 30 - Strip 0_Area 27_1.0,1000.0,752.2807943125091,555,1000.0,752.2807943125091,555
FF01_Order 3 - Strip 0_Area 0_1.0,"['FF01_Order 1 - Strip 0_Area 0_1.0', 'FF01_Order 1 - Strip 1_Area 0_1.0', 'FF01_Order 1 - Strip 2_Area 0_1.0', 'FF01_Order 1 - Strip 3_Area 0_1.0', 'FF01_Order 3 - Strip 1_Area 0_1.0', 'FF01_Order 3 - Strip 2_Area 0_1.0', 'FF01_Order 3 - Strip 3_Area 0_1.0', 'FF01_Order 3 - Strip 4_Area 0_1.0', 'FF01_Order 47 - Strip 0_Area 35_1.0', 'FF01_Order 47 - Strip 1_Area 35_1.0', 'FF01_Order 47 - Strip 2_Area 35_1.0', 'FF01_Order 47 - Strip 3_Area 35_1.0', 'FF01_Order 47 - Strip 4_Area 35_1.0', 'FF01_Order 47 - Strip 5_Area 35_1.0', 'FF01_Order 47 - Strip 6_Area 35_1.0', 'FF01_Order 67 - Strip 0_Area 6_1.0', 'FF01_Order 67 - Strip 1_Area 6_1.0', 'FF01_Order 67 - Strip 2_Area 6_1.0', 'FF01_Order 67 - Strip 3_Area 6_1.0', 'FF01_Order 68 - Strip 1_Area 6_1.0', 'FF01_Order 68 - Strip 2_Area 6_1.0', 'FF01_Order 68 - Strip 3_Area 6_1.0']",2024-11-14 19:31:45,2024-11-14 19:32:01,Order 3 - Strip 0,750.0,908.0010839711589,486,FF01_Order 47 - Strip 5_Area 35_1.0,750.0,908.0010839711589,506,750.0,908.0010839711589,506
FF01_Order 3 - Strip 1_Area 0_1.0,"['FF01_Order 1 - Strip 0_Area 0_1.0', 'FF01_Order 1 - Strip 1_Area 0_1.0', 'FF01_Order 1 - Strip 2_Area 0_1.0', 'FF01_Order 1 - Strip 3_Area 0_1.0', 'FF01_Order 3 - Strip 0_Area 0_1.0', 'FF01_Order 3 - Strip 2_Area 0_1.0', 'FF01_Order 3 - Strip 3_Area 0_1.0', 'FF01_Order 3 - Strip 4_Area 0_1.0', 'FF01_Order 47 - Strip 0_Area 35_1.0', 'FF01_Order 47 - Strip 1_Area 35_1.0', 'FF01_Order 47 - Strip 2_Area 35_1.0', 'FF01_Order 47 - Strip 3_Area 35_1.0', 'FF01_Order 47 - Strip 4_Area 35_1.0', 'FF01_Order 47 - Strip 5_Area 35_1.0', 'FF01_Order 47 - Strip 6_Area 35_1.0', 'FF01_Order 67 - Strip 0_Area 6_1.0', 'FF01_Order 67 - Strip 1_Area 6_1.0', 'FF01_Order 67 - Strip 2_Area 6_1.0', 'FF01_Order 67 - Strip 3_Area 6_1.0', 'FF01_Order 68 - Strip 1_Area 6_1.0', 'FF01_Order 68 - Strip 2_Area 6_1.0', 'FF01_Order 68 - Strip 3_Area 6_1.0']",2024-11-14 19:31:43,2024-11-14 19:32:01,Order 3 - Strip 1,750.0,908.0010839711589,485,FF01_Order 47 - Strip 5_Area 35_1.0,750.0,908.0010839711589,506,750.0,908.0010839711589,506
FF01_Order 3 - Strip 2_Area 0_1.0,"['FF01_Order 1 - Strip 0_Area 0_1.0', 'FF01_Order 1 - Strip 1_Area 0_1.0', 'FF01_Order 1 - Strip 2_Area 0_1.0', 'FF01_Order 1 - Strip 3_Area 0_1.0', 'FF01_Order 3 - Strip 0_Area 0_1.0', 'FF01_Order 3 - Strip 1_Area 0_1.0', 'FF01_Order 3 - Strip 3_Area 0_1.0', 'FF01_Order 3 - Strip 4_Area 0_1.0', 'FF01_Order 47 - Strip 0_Area 35_1.0', 'FF01_Order 47 - Strip 1_Area 35_1.0', 'FF01_Order 47 - Strip 2_Area 35_1.0', 'FF01_Order 47 - Strip 3_Area 35_1.0', 'FF01_Order 47 - Strip 4_Area 35_1.0', 'FF01_Order 47 - Strip 5_Area 35_1.0', 'FF01_Order 47 - Strip 6_Area 35_1.0', 'FF01_Order 67 - Strip 0_Area 6_1.0', 'FF01_Order 67 - Strip 1_Area 6_1.0', 'FF01_Order 67 - Strip 2_Area 6_1.0', 'FF01_Order 67 - Strip 3_Area 6_1.0', 'FF01_Order 68 - Strip 1_Area 6_1.0', 'FF01_Order 68 - Strip 2_Area 6_1.0', 'FF01_Order 68 - Strip 3_Area 6_1.0']",2024-11-14 19:31:40,2024-11-14 19:31:59,Order 3 - Strip 2,750.0,908.0010839711589,484,FF01_Order 47 - Strip 5_Area 35_1.0,750.0,908.0010839711589,506,750.0,908.0010839711589,506
FF01_Order 3 - Strip 3_Area 0_1.0,"['FF01_Order 1 - Strip 0_Area 0_1.0', 'FF01_Order 1 - Strip 1_Area 0_1.0', 'FF01_Order 1 - Strip 2_Area 0_1.0', 'FF01_Order 1 - Strip 3_Area 0_1.0', 'FF01_Order 3 - Strip 0_Area 0_1.0', 'FF01_Order 3 - Strip 1_Area 0_1.0', 'FF01_Order 3 - Strip 2_Area 0_1.0', 'FF01_Order 3 - Strip 4_Area 0_1.0', 'FF01_Order 47 - Strip 0_Area 35_1.0', 'FF01_Order 47 - Strip 1_Area 35_1.0', 'FF01_Order 47 - Strip 2_Area 35_1.0', 'FF01_Order 47 - Strip 3_Area 35_1.0', 'FF01_Order 47 - Strip 4_Area 35_1.0', 'FF01_Order 47 - Strip 5_Area 35_1.0', 'FF01_Order 47 - Strip 6_Area 35_1.0', 'FF01_Order 67 - Strip 0_Area 6_1.0', 'FF01_Order 67 - Strip 1_Area 6_1.0', 'FF01_Order 67 - Strip 2_Area 6_1.0', 'FF01_Order 67 - Strip 3_Area 6_1.0', 'FF01_Order 68 - Strip 1_Area 6_1.0', 'FF01_Order 68 - Strip 2_Area 6_1.0', 'FF01_Order 68 - Strip 3_Area 6_1.0']",2024-11-14 19:31:38,2024-11-14 19:31:57,Order 3 - Strip 3,750.0,908.0010839711589,483,FF01_Order 47 - Strip 5_Area 35_1.0,750.0,908.0010839711589,506,750.0,908.0010839711589,506
FF01_Order 3 - Strip 4_Area 0_1.0,"['FF01_Order 1 - Strip 0_Area 0_1.0', 'FF01_Order 1 - Strip 1_Area 0_1.0', 'FF01_Order 1 - Strip 2_Area 0_1.0', 'FF01_Order 1 - Strip 3_Area 0_1.0', 'FF01_Order 3 - Strip 0_Area 0_1.0', 'FF01_Order 3 - Strip 1_Area 0_1.0', 'FF01_Order 3 - Strip 2_Area 0_1.0', 'FF01_Order 3 - Strip 3_Area 0_1.0', 'FF01_Order 47 - Strip 0_Area 35_1.0', 'FF01_Order 47 - Strip 1_Area 35_1.0', 'FF01_Order 47 - Strip 2_Area 35_1.0', 'FF01_Order 47 - Strip 3_Area 35_1.0', 'FF01_Order 47 - Strip 4_Area 35_1.0', 'FF01_Order 47 - Strip 5_Area 35_1.0', 'FF01_Order 47 - Strip 6_Area 35_1.0', 'FF01_Order 67 - Strip 0_Area 6_1.0', 'FF01_Order 67 - Strip 1_Area 6_1.0', 'FF01_Order 67 - Strip 2_Area 6_1.0', 'FF01_Order 67 - Strip 3_Area 6_1.0', 'FF01_Order 68 - Strip 1_Area 6_1.0', 'FF01_Order 68 - Strip 2_Area 6_1.0', 'FF01_Order 68 - Strip 3_Area 6_1.0']",2024-11-14 19:31:36,2024-11-14 19:31:54,Order 3 - Strip 4,750.0,908.0010839711589,485,FF01_Order 47 - Strip 5_Area 35_1.0,750.0,908.0010839711589,506,750.0,908.0010839711589,506
